Paracetamol DILI = 0.2828, Ames = 0.4213, hERG = 0.0301, CYP3A4 = 0.0419, Teratogenicity = 0.5904
Ibuprofen DILI = 0.5215, Ames = 0.0575, hERG = 0.1085, CYP3A4 = 0.0678, Teratogenicity = 0.2694
Aspirin DILI = 0.3238, Ames = 0.1603, hERG = 0.0107, CYP3A4 = 0.0064, Teratogenicity = 0.3625
Diclofenac DILI = 0.9203, Ames = 0.1492, hERG = 0.1517, CYP3A4 = 0.2080, Teratogenicity = 0.2440
Naproxen DILI = 0.9557, Ames = 0.2077, hERG = 0.0681, CYP3A4 = 0.2351, Teratogenicity = 0.3560
Ketoprofen DILI = 0.9054, Ames = 0.1470, hERG = 0.0258, CYP3A4 = 0.1322, Teratogenicity = 0.5292
Celecoxib DILI = 0.9788, Ames = 0.1196, hERG = 0.4180, CYP3A4 = 0.6142, Teratogenicity = 0.6553
Tramadol DILI = 0.0685, Ames = 0.2026, hERG = 0.2941, CYP3A4 = 0.1385, Teratogenicity = 0.4625
Morphine DILI = 0.0315, Ames = 0.1120, hERG = 0.0715, CYP3A4 = 0.0452, Teratogenicity = 0.6288
Codeine DILI = 0.0701, Ames = 0.0913, hERG = 0.1939, CYP3A4 = 0.0368, Teratogenicity = 0.6165
Amoxicillin DILI = 0.5367, Ames = 0.0499, hERG = 0.0278, CYP3A4 = 0.0274, Teratogenicity = 0.6543
Ampicillin DILI = 0.3191, Ames = 0.0682, hERG = 0.0237, CYP3A4 = 0.0452, Teratogenicity = 0.6812
Penicillin G DILI = 0.2582, Ames = 0.1364, hERG = 0.0424, CYP3A4 = 0.0387, Teratogenicity = 0.7101
Azithromycin DILI = 0.8184, Ames = 0.0561, hERG = 0.0481, CYP3A4 = 0.2857, Teratogenicity = 0.7075
Ciprofloxacin DILI = 0.9772, Ames = 0.8116, hERG = 0.0286, CYP3A4 = 0.0506, Teratogenicity = 0.7536
Levofloxacin DILI = 0.9456, Ames = 0.3002, hERG = 0.2621, CYP3A4 = 0.2457, Teratogenicity = 0.8161
Doxycycline DILI = 0.5861, Ames = 0.1307, hERG = 0.1413, CYP3A4 = 0.0190, Teratogenicity = 0.7244
Clarithromycin DILI = 0.7537, Ames = 0.0912, hERG = 0.0345, CYP3A4 = 0.1050, Teratogenicity = 0.6937
Metronidazole DILI = 0.7234, Ames = 0.7266, hERG = 0.0424, CYP3A4 = 0.0227, Teratogenicity = 0.3922
Amlodipine DILI = 0.7592, Ames = 0.0154, hERG = 0.4327, CYP3A4 = 0.6546, Teratogenicity = 0.0870
Lisinopril DILI = 0.2139, Ames = 0.1467, hERG = 0.0487, CYP3A4 = 0.0463, Teratogenicity = 0.4003
Losartan DILI = 0.8953, Ames = 0.2777, hERG = 0.6701, CYP3A4 = 0.8953, Teratogenicity = 0.5441
Metoprolol DILI = 0.0594, Ames = 0.1111, hERG = 0.3393, CYP3A4 = 0.0628, Teratogenicity = 0.1104
Atenolol DILI = 0.1648, Ames = 0.1095, hERG = 0.1284, CYP3A4 = 0.0494, Teratogenicity = 0.2208
Bisoprolol DILI = 0.0818, Ames = 0.0918, hERG = 0.6091, CYP3A4 = 0.2254, Teratogenicity = 0.1181
Carvedilol DILI = 0.1857, Ames = 0.2321, hERG = 0.5321, CYP3A4 = 0.6591, Teratogenicity = 0.2364
Enalapril DILI = 0.2399, Ames = 0.1597, hERG = 0.1130, CYP3A4 = 0.0948, Teratogenicity = 0.2974
Ramipril DILI = 0.1368, Ames = 0.1902, hERG = 0.1850, CYP3A4 = 0.3587, Teratogenicity = 0.3242
Irbesartan DILI = 0.6313, Ames = 0.2454, hERG = 0.8109, CYP3A4 = 0.8860, Teratogenicity = 0.5268
Olmesartan DILI = 0.9184, Ames = 0.1208, hERG = 0.5302, CYP3A4 = 0.8732, Teratogenicity = 0.4298
Telmisartan DILI = 0.6260, Ames = 0.3330, hERG = 0.9450, CYP3A4 = 0.6997, Teratogenicity = 0.4935
Hydrochlorothiazide DILI = 0.9726, Ames = 0.2035, hERG = 0.0899, CYP3A4 = 0.0479, Teratogenicity = 0.6273
Furosemide DILI = 0.9834, Ames = 0.0606, hERG = 0.0384, CYP3A4 = 0.3183, Teratogenicity = 0.7178
Spironolactone DILI = 0.1514, Ames = 0.0578, hERG = 0.2481, CYP3A4 = 0.1460, Teratogenicity = 0.8203
Amiodarone DILI = 0.6453, Ames = 0.1315, hERG = 0.7494, CYP3A4 = 0.4656, Teratogenicity = 0.1844
Digoxin DILI = 0.5603, Ames = 0.0349, hERG = 0.2265, CYP3A4 = 0.2419, Teratogenicity = 0.8917
Warfarin DILI = 0.7228, Ames = 0.4235, hERG = 0.1949, CYP3A4 = 0.3116, Teratogenicity = 0.5274
Clopidogrel DILI = 0.1906, Ames = 0.1104, hERG = 0.1414, CYP3A4 = 0.1968, Teratogenicity = 0.4001
Atorvastatin DILI = 0.8731, Ames = 0.0418, hERG = 0.4480, CYP3A4 = 0.4295, Teratogenicity = 0.8906
Rosuvastatin DILI = 0.8934, Ames = 0.0121, hERG = 0.1951, CYP3A4 = 0.1823, Teratogenicity = 0.5133
Simvastatin DILI = 0.0764, Ames = 0.0334, hERG = 0.2095, CYP3A4 = 0.8260, Teratogenicity = 0.7725
Pravastatin DILI = 0.1695, Ames = 0.0251, hERG = 0.0695, CYP3A4 = 0.4578, Teratogenicity = 0.6739
Ezetimibe DILI = 0.7636, Ames = 0.0200, hERG = 0.6910, CYP3A4 = 0.7016, Teratogenicity = 0.6796
Fenofibrate DILI = 0.8618, Ames = 0.0495, hERG = 0.5056, CYP3A4 = 0.5102, Teratogenicity = 0.5874
Metformin DILI = 0.0882, Ames = 0.5125, hERG = 0.0336, CYP3A4 = 0.0266, Teratogenicity = 0.4977
Gliclazide DILI = 0.9637, Ames = 0.0796, hERG = 0.1427, CYP3A4 = 0.5154, Teratogenicity = 0.9327
Glimepiride DILI = 0.9364, Ames = 0.0936, hERG = 0.3830, CYP3A4 = 0.4186, Teratogenicity = 0.9337
Sitagliptin DILI = 0.6802, Ames = 0.0538, hERG = 0.3043, CYP3A4 = 0.6528, Teratogenicity = 0.6046
Empagliflozin DILI = 0.7940, Ames = 0.2431, hERG = 0.1459, CYP3A4 = 0.1728, Teratogenicity = 0.6754
Dapagliflozin DILI = 0.5813, Ames = 0.1719, hERG = 0.1342, CYP3A4 = 0.0955, Teratogenicity = 0.6565
Pioglitazone DILI = 0.9433, Ames = 0.2306, hERG = 0.6121, CYP3A4 = 0.7691, Teratogenicity = 0.5371
Omeprazole DILI = 0.9276, Ames = 0.4120, hERG = 0.2117, CYP3A4 = 0.7794, Teratogenicity = 0.1500
Pantoprazole DILI = 0.9694, Ames = 0.3397, hERG = 0.1201, CYP3A4 = 0.7771, Teratogenicity = 0.2467
Ranitidine DILI = 0.6620, Ames = 0.3514, hERG = 0.1832, CYP3A4 = 0.0585, Teratogenicity = 0.3427
Lansoprazole DILI = 0.9687, Ames = 0.3624, hERG = 0.4675, CYP3A4 = 0.7959, Teratogenicity = 0.4430
Domperidone DILI = 0.6827, Ames = 0.0876, hERG = 0.9516, CYP3A4 = 0.5388, Teratogenicity = 0.6890
Metoclopramide DILI = 0.3005, Ames = 0.3592, hERG = 0.4287, CYP3A4 = 0.1659, Teratogenicity = 0.4895
Ondansetron DILI = 0.8383, Ames = 0.5337, hERG = 0.8198, CYP3A4 = 0.7011, Teratogenicity = 0.6043
Loperamide DILI = 0.0676, Ames = 0.0788, hERG = 0.8581, CYP3A4 = 0.7123, Teratogenicity = 0.3312
Mesalazine DILI = 0.4121, Ames = 0.3837, hERG = 0.0037, CYP3A4 = 0.0121, Teratogenicity = 0.3684
Salbutamol DILI = 0.0224, Ames = 0.0958, hERG = 0.0983, CYP3A4 = 0.0404, Teratogenicity = 0.4718
Salmeterol DILI = 0.0378, Ames = 0.0077, hERG = 0.4050, CYP3A4 = 0.3273, Teratogenicity = 0.1726
