Paracetamol DILI = 0.4881, Ames = 0.3439, hERG = 0.0015, CYP3A4 = 0.0193, Teratogenicity = 0.7050
Ibuprofen DILI = 0.4453, Ames = 0.0286, hERG = 0.0341, CYP3A4 = 0.0396, Teratogenicity = 0.4103
Aspirin DILI = 0.3166, Ames = 0.0989, hERG = 0.0015, CYP3A4 = 0.0018, Teratogenicity = 0.4723
Diclofenac DILI = 0.9217, Ames = 0.1307, hERG = 0.0277, CYP3A4 = 0.1609, Teratogenicity = 0.2277
Naproxen DILI = 0.8953, Ames = 0.1714, hERG = 0.0365, CYP3A4 = 0.1402, Teratogenicity = 0.3798
Ketoprofen DILI = 0.8936, Ames = 0.1429, hERG = 0.0037, CYP3A4 = 0.0735, Teratogenicity = 0.4930
Celecoxib DILI = 0.9782, Ames = 0.0914, hERG = 0.2581, CYP3A4 = 0.6112, Teratogenicity = 0.7413
Tramadol DILI = 0.0500, Ames = 0.1392, hERG = 0.3985, CYP3A4 = 0.0924, Teratogenicity = 0.2858
Morphine DILI = 0.0362, Ames = 0.0453, hERG = 0.0218, CYP3A4 = 0.0170, Teratogenicity = 0.5205
Codeine DILI = 0.0424, Ames = 0.0397, hERG = 0.0048, CYP3A4 = 0.0337, Teratogenicity = 0.7049
Amoxicillin DILI = 0.6781, Ames = 0.0238, hERG = 0.0045, CYP3A4 = 0.0193, Teratogenicity = 0.4248
Ampicillin DILI = 0.4612, Ames = 0.0303, hERG = 0.0050, CYP3A4 = 0.0188, Teratogenicity = 0.4501
Penicillin G DILI = 0.2965, Ames = 0.0357, hERG = 0.0104, CYP3A4 = 0.0068, Teratogenicity = 0.4259
Azithromycin DILI = 0.7714, Ames = 0.0292, hERG = 0.0152, CYP3A4 = 0.1803, Teratogenicity = 0.7518
Ciprofloxacin DILI = 0.9514, Ames = 0.8976, hERG = 0.0140, CYP3A4 = 0.0192, Teratogenicity = 0.7163
Levofloxacin DILI = 0.9255, Ames = 0.1059, hERG = 0.1886, CYP3A4 = 0.1472, Teratogenicity = 0.7910
Doxycycline DILI = 0.7187, Ames = 0.1441, hERG = 0.0317, CYP3A4 = 0.0070, Teratogenicity = 0.6326
Clarithromycin DILI = 0.7043, Ames = 0.0278, hERG = 0.0072, CYP3A4 = 0.0779, Teratogenicity = 0.7251
Metronidazole DILI = 0.6944, Ames = 0.8457, hERG = 0.0070, CYP3A4 = 0.0079, Teratogenicity = 0.5667
Amlodipine DILI = 0.7914, Ames = 0.0068, hERG = 0.6899, CYP3A4 = 0.8099, Teratogenicity = 0.1347
Lisinopril DILI = 0.3276, Ames = 0.0278, hERG = 0.0056, CYP3A4 = 0.0204, Teratogenicity = 0.3104
Losartan DILI = 0.9566, Ames = 0.0621, hERG = 0.4711, CYP3A4 = 0.8593, Teratogenicity = 0.3817
Metoprolol DILI = 0.0526, Ames = 0.0935, hERG = 0.2576, CYP3A4 = 0.0281, Teratogenicity = 0.1823
Atenolol DILI = 0.1412, Ames = 0.1057, hERG = 0.1154, CYP3A4 = 0.0258, Teratogenicity = 0.3572
Bisoprolol DILI = 0.1024, Ames = 0.0649, hERG = 0.7372, CYP3A4 = 0.1733, Teratogenicity = 0.2939
Carvedilol DILI = 0.2295, Ames = 0.1479, hERG = 0.7109, CYP3A4 = 0.7231, Teratogenicity = 0.2999
Enalapril DILI = 0.2702, Ames = 0.0174, hERG = 0.0431, CYP3A4 = 0.0460, Teratogenicity = 0.2431
Ramipril DILI = 0.2045, Ames = 0.0208, hERG = 0.1606, CYP3A4 = 0.2645, Teratogenicity = 0.2157
Irbesartan DILI = 0.5158, Ames = 0.0959, hERG = 0.8507, CYP3A4 = 0.8561, Teratogenicity = 0.4118
Olmesartan DILI = 0.9389, Ames = 0.0372, hERG = 0.3622, CYP3A4 = 0.8736, Teratogenicity = 0.4042
Telmisartan DILI = 0.6408, Ames = 0.1489, hERG = 0.8317, CYP3A4 = 0.5332, Teratogenicity = 0.4133
Hydrochlorothiazide DILI = 0.9431, Ames = 0.0983, hERG = 0.0065, CYP3A4 = 0.0181, Teratogenicity = 0.6531
Furosemide DILI = 0.9866, Ames = 0.0354, hERG = 0.0771, CYP3A4 = 0.1138, Teratogenicity = 0.4229
Spironolactone DILI = 0.1278, Ames = 0.0409, hERG = 0.0688, CYP3A4 = 0.0802, Teratogenicity = 0.7132
Amiodarone DILI = 0.5145, Ames = 0.1134, hERG = 0.9126, CYP3A4 = 0.3216, Teratogenicity = 0.3298
Digoxin DILI = 0.1918, Ames = 0.0155, hERG = 0.1037, CYP3A4 = 0.1147, Teratogenicity = 0.8685
Warfarin DILI = 0.8131, Ames = 0.1880, hERG = 0.1251, CYP3A4 = 0.2126, Teratogenicity = 0.4222
Clopidogrel DILI = 0.1877, Ames = 0.0720, hERG = 0.0336, CYP3A4 = 0.1897, Teratogenicity = 0.3995
Atorvastatin DILI = 0.8769, Ames = 0.0120, hERG = 0.2544, CYP3A4 = 0.4790, Teratogenicity = 0.9084
Rosuvastatin DILI = 0.7411, Ames = 0.0060, hERG = 0.1122, CYP3A4 = 0.1597, Teratogenicity = 0.6159
Simvastatin DILI = 0.1118, Ames = 0.0415, hERG = 0.3347, CYP3A4 = 0.9210, Teratogenicity = 0.8654
Pravastatin DILI = 0.2744, Ames = 0.0234, hERG = 0.0657, CYP3A4 = 0.6823, Teratogenicity = 0.8231
Ezetimibe DILI = 0.7175, Ames = 0.0182, hERG = 0.6311, CYP3A4 = 0.6194, Teratogenicity = 0.6364
Fenofibrate DILI = 0.8557, Ames = 0.0326, hERG = 0.5319, CYP3A4 = 0.4157, Teratogenicity = 0.5724
Metformin DILI = 0.1256, Ames = 0.3681, hERG = 0.0222, CYP3A4 = 0.0126, Teratogenicity = 0.5288
Gliclazide DILI = 0.9706, Ames = 0.0406, hERG = 0.0634, CYP3A4 = 0.4445, Teratogenicity = 0.9164
Glimepiride DILI = 0.9490, Ames = 0.0334, hERG = 0.3114, CYP3A4 = 0.2309, Teratogenicity = 0.9094
Sitagliptin DILI = 0.6332, Ames = 0.0121, hERG = 0.2145, CYP3A4 = 0.5271, Teratogenicity = 0.5405
Empagliflozin DILI = 0.8136, Ames = 0.1360, hERG = 0.1005, CYP3A4 = 0.2927, Teratogenicity = 0.4874
Dapagliflozin DILI = 0.5841, Ames = 0.1750, hERG = 0.0682, CYP3A4 = 0.0718, Teratogenicity = 0.4812
Pioglitazone DILI = 0.9353, Ames = 0.0780, hERG = 0.4004, CYP3A4 = 0.8045, Teratogenicity = 0.4228
Omeprazole DILI = 0.8937, Ames = 0.3611, hERG = 0.2304, CYP3A4 = 0.8898, Teratogenicity = 0.1543
Pantoprazole DILI = 0.9550, Ames = 0.2420, hERG = 0.1815, CYP3A4 = 0.8636, Teratogenicity = 0.1435
Ranitidine DILI = 0.6998, Ames = 0.1995, hERG = 0.0456, CYP3A4 = 0.0647, Teratogenicity = 0.4169
Lansoprazole DILI = 0.9606, Ames = 0.1392, hERG = 0.4948, CYP3A4 = 0.8905, Teratogenicity = 0.4000
Domperidone DILI = 0.5929, Ames = 0.0700, hERG = 0.9715, CYP3A4 = 0.5986, Teratogenicity = 0.3344
Metoclopramide DILI = 0.2813, Ames = 0.6719, hERG = 0.8079, CYP3A4 = 0.1110, Teratogenicity = 0.5648
Ondansetron DILI = 0.5978, Ames = 0.3738, hERG = 0.9065, CYP3A4 = 0.7954, Teratogenicity = 0.3242
Loperamide DILI = 0.0882, Ames = 0.0426, hERG = 0.9175, CYP3A4 = 0.6673, Teratogenicity = 0.3110
Mesalazine DILI = 0.2925, Ames = 0.4085, hERG = 0.0003, CYP3A4 = 0.0125, Teratogenicity = 0.5224
Salbutamol DILI = 0.0232, Ames = 0.0376, hERG = 0.0622, CYP3A4 = 0.0341, Teratogenicity = 0.3708
Salmeterol DILI = 0.0460, Ames = 0.0070, hERG = 0.3356, CYP3A4 = 0.3090, Teratogenicity = 0.2515
Formoterol DILI = 0.0444, Ames = 0.0790, hERG = 0.0487, CYP3A4 = 0.0332, Teratogenicity = 0.3323
Budesonide DILI = 0.2243, Ames = 0.0353, hERG = 0.0871, CYP3A4 = 0.1103, Teratogenicity = 0.9069
Fluticasone DILI = 0.1128, Ames = 0.0559, hERG = 0.2361, CYP3A4 = 0.6997, Teratogenicity = 0.8624
Montelukast DILI = 0.2263, Ames = 0.0052, hERG = 0.6986, CYP3A4 = 0.2303, Teratogenicity = 0.1575
Cetirizine DILI = 0.2838, Ames = 0.0196, hERG = 0.1918, CYP3A4 = 0.1210, Teratogenicity = 0.1754
Loratadine DILI = 0.4141, Ames = 0.1144, hERG = 0.8686, CYP3A4 = 0.5531, Teratogenicity = 0.3359
Fexofenadine DILI = 0.1745, Ames = 0.0204, hERG = 0.1811, CYP3A4 = 0.4255, Teratogenicity = 0.2439
Diphenhydramine DILI = 0.0949, Ames = 0.1804, hERG = 0.7682, CYP3A4 = 0.0239, Teratogenicity = 0.1738
Chlorpheniramine DILI = 0.0768, Ames = 0.1750, hERG = 0.7416, CYP3A4 = 0.0540, Teratogenicity = 0.1902
Pseudoephedrine DILI = 0.0450, Ames = 0.1988, hERG = 0.0603, CYP3A4 = 0.0168, Teratogenicity = 0.3049
Fluoxetine DILI = 0.0941, Ames = 0.0353, hERG = 0.9509, CYP3A4 = 0.4796, Teratogenicity = 0.4412
Sertraline DILI = 0.1778, Ames = 0.1459, hERG = 0.8986, CYP3A4 = 0.5382, Teratogenicity = 0.2328
Paroxetine DILI = 0.7391, Ames = 0.1635, hERG = 0.7900, CYP3A4 = 0.1831, Teratogenicity = 0.6307
Escitalopram DILI = 0.2892, Ames = 0.1810, hERG = 0.9757, CYP3A4 = 0.1485, Teratogenicity = 0.7811
Venlafaxine DILI = 0.0833, Ames = 0.1556, hERG = 0.5211, CYP3A4 = 0.1333, Teratogenicity = 0.1547
Duloxetine DILI = 0.7703, Ames = 0.3955, hERG = 0.9158, CYP3A4 = 0.7128, Teratogenicity = 0.4747
Amitriptyline DILI = 0.1896, Ames = 0.6536, hERG = 0.6195, CYP3A4 = 0.0356, Teratogenicity = 0.2438
